k,c,z
2.690385970716,1.10924895175045,1.07527339953645
2.95210312978267,1.23844824456988,1.31696262167248
2.84541835717948,1.11347344120142,0.93733153679747
2.87043300493622,1.15415237693372,1.07056949428951
2.91759831741039,1.17408107618671,1.10108272901187
2.78254713222175,1.08719980929463,0.897789821726756
2.63480016156587,1.03900294285691,0.857528974258609
2.57664841199915,1.04377709180933,0.933990604722298
2.96946210838258,1.27664360395481,1.44816805533944
3.55462120717506,1.50318948849991,1.74625562845544
3.75453010826349,1.46738707885811,1.40802033114244
4.21684739591658,1.67409688719366,1.75130555020041
4.56244628494528,1.75008313170215,1.70260103165278
4.72380821567603,1.75299481265703,1.55325314307567
4.84993889229885,1.78257607139978,1.54266652099619
4.83779309143218,1.74416660307978,1.40543796863499
4.74305656884418,1.69457437555743,1.30697016615771
4.79004243226743,1.74446258837777,1.45413379801613
4.92081943558718,1.80533560950026,1.56057186698497
5.10451393224608,1.87457984331802,1.64686443146812
5.22808264513984,1.89713174175488,1.61150114387963
5.08144093989818,1.78463179685327,1.3201527459278
4.98979814038486,1.77051897861744,1.35653560792828
5.04775974056708,1.82572936639238,1.51346142682568
5.06692233090461,1.82182801453705,1.4792142693042
5.12507110196093,1.84932869597524,1.52822843683186
5.17046653463734,1.85995681914701,1.52434666813914
5.08197171763392,1.79938918006895,1.37699560504127
4.97839478795154,1.76404939549112,1.34273848942655
4.73808224165723,1.65651735620139,1.16397119901503
4.61534397363765,1.64863882577168,1.25555234765809
4.33069326214628,1.52127974799848,1.04385206315079
3.9561199564644,1.38459686556761,0.88543978637711
3.56458085573106,1.26105865764391,0.795022011882206
2.91770166844464,0.999897644076363,0.423817826826479
2.6475003267281,1.01213418931388,0.740427502455297
2.50474739057688,1.00063687963311,0.837868677488105
2.32220543693073,0.935039191533572,0.764604977306726
2.37440566140873,1.00986519601241,1.00352577745871
2.21177926742368,0.906397742880577,0.763208323327452
2.10387436614821,0.887261158400824,0.796252716209993
2.01941525730614,0.867416524970489,0.803199587142964
2.02081455283007,0.889394475603183,0.887248613197542
2.07896501958844,0.92135493575245,0.953599094087273
2.03168552306857,0.880487177564033,0.841796086844395
2.01562349387066,0.883430019289026,0.869229688008038
2.00480065171725,0.881448028239583,0.872300687717165
2.09312847420774,0.933244669887624,0.985719570427754
2.30103655035489,1.02659868467688,1.14163285000773
2.58429996310809,1.13180808241073,1.2686045416722
2.67171180192465,1.10927597108434,1.09397223825934
2.73812405549909,1.12423679295003,1.08600806336573
2.63304039783516,1.0491759343293,0.898830064586428
2.42848652402029,0.961891654878287,0.763173947860995
2.29692067020878,0.940132087248391,0.809580252354328
2.40363074164734,1.03245114250033,1.06223244504333
2.38983376104649,0.997999029575642,0.942032728109146
2.43287614466815,1.02537905915096,1.00561921627372
2.44086012839932,1.01901117128171,0.972913556701005
2.58653545217707,1.09795256523685,1.13476070479483
2.55453564076714,1.04360509977241,0.95533956252855
2.53930421611492,1.04317405700644,0.968829695005937
2.5983205072799,1.07979016272702,1.05241753896046
2.77109315980391,1.16097854607692,1.19601946167169
3.06786209250293,1.28251186277353,1.3730052347079
3.26282346200872,1.31635030561789,1.31043454641088
3.19356070872716,1.22892594296761,1.03952499363944
3.03948768331278,1.1607001407064,0.927697737695173
2.79516448094563,1.06361478229249,0.793536747491341
2.90846112390327,1.18789738903514,1.16389340935336
2.90124577836496,1.15544908450814,1.04493046407732
2.9774191196659,1.19958647356867,1.14067512098042
2.99395868473913,1.18965621705335,1.08560150530198
3.09994901814873,1.24439880469435,1.19288666380048
3.06368835665213,1.19764525880993,1.04723043792088
2.85660411836919,1.09167942645217,0.84146669462928
2.53929135420304,0.967343479784792,0.674040726190614
2.38805755816022,0.962959351245217,0.807579728332883
2.27304625532412,0.937014344237166,0.821231260739671
2.1837993203675,0.916293129212043,0.82953752029871
2.30892139741473,1.00822029780476,1.06233343732893
2.43812381469563,1.0486051024303,1.09068856222093
2.55460185714166,1.08089529879283,1.10024439726175
2.82587309609414,1.2023913860515,1.30247339040577
2.90453420501137,1.17800707609942,1.12935347843568
3.03198701559909,1.22908205538975,1.20101020096749
3.20466715046348,1.29304050310972,1.27772050388417
3.27237537506801,1.28731790021014,1.18805628345442
3.32274543338641,1.29831065090476,1.18063883886006
3.19376927579058,1.21400057826069,0.981292920680561
2.95088861536116,1.11141711179462,0.824320947498646
2.79013477985244,1.08305960504215,0.874139218241226
2.76387092118561,1.10881738355409,1.00042693910448
3.05262568046078,1.27585852996007,1.36231032664986
