,MN_label,repetition,k,M,N,Time,MSE,MSIE,A_EEE,Mean_abs_u,mean_square_ut,std_ut,dhm_stat,c_equivalent,M_init,log_N,log_M,log_MN
0,250-1,2.0,10.0,250.0,1.0,0.012472754999953395,0.002471680402215503,,0.38962662024363387,,,0.060767038637067804,488.50233258300256,[-39.72089081],350.0,0.0,5.521460917862246,5.521460917862246
4,250-2,2.0,10.0,250.0,2.0,0.013570719599965742,0.0013023991225749256,0.0001553068671437703,0.006434685257099298,0.036240092540374545,0.0027347587774872043,0.052218828700009656,142.71118219319567,[0.03090472],350.0,0.6931471805599453,5.521460917862246,6.214608098422191
6,250-5,2.0,10.0,250.0,5.0,0.022016673799998897,0.0004364110174540834,,0.28807872761836817,,,0.04924109452155708,85.05616986035928,[-40.0131042],350.0,1.6094379124341003,5.521460917862246,7.130898830296347
1,250-10,2.0,10.0,250.0,10.0,0.02243166640000709,0.00022794127794466628,3.233494923002285e-05,0.0031424187313574973,0.034948007190544826,0.002511957846712982,0.050093517481731784,70.28037350577628,[-0.02383607],350.0,2.302585092994046,5.521460917862246,7.824046010856291
2,250-100,2.0,10.0,250.0,100.0,0.13120831900000668,2.7216808895319804e-05,7.4780687801804005e-06,0.0012520848551495459,0.03453096356893026,0.002424558652744108,0.049237144152986224,6.23934665232256,[0.03862598],350.0,4.605170185988092,5.521460917862246,10.126631103850338
5,250-200,2.0,10.0,250.0,200.0,0.22274017159993492,1.1854494619579881e-05,1.2289716369453544e-05,0.0014024838791149605,0.035088374648186274,0.002476465142909957,0.04975301337683913,38.396111354392204,[-0.05546371],350.0,5.298317366548036,5.521460917862246,10.819778284410283
7,250-500,2.0,10.0,250.0,500.0,0.5597258199999487,5.082710365956715e-06,6.842749691051464e-06,0.0009485945123221693,0.0346996625489572,0.00245821113679164,0.049579176428956005,2.987764552550575,[0.01367014],350.0,6.214608098422191,5.521460917862246,11.736069016284437
3,250-1000,2.0,10.0,250.0,1000.0,1.180413565400022,3.7061977419131425e-06,5.4667057724068535e-06,0.0010173900105424159,0.034653470367826185,0.002434394700136523,0.04933824433296634,1.3614810775801138,[0.01074784],350.0,6.907755278982137,5.521460917862246,12.429216196844383
