,MN_label,repetition,k,M,N,Time,MSE,MSIE,A_EEE,Mean_abs_u,mean_square_ut,std_ut,dhm_stat,c_equivalent,M_init,log_N,log_M,log_MN
2,200-2,2.0,10.0,200.0,2.0,0.012093025400054103,0.001304995118182176,,0.20670077000461448,,,0.05408910158829244,284.08481798313085,[-20.09503362],300.0,0.6931471805599453,5.298317366548036,5.991464547107982
4,500-2,2.0,10.0,500.0,2.0,0.026017511400050354,0.0013065740734781047,,0.20486637606215044,,,0.06361125952528869,426.45469171388106,[-20.0561292],600.0,0.6931471805599453,6.214608098422191,6.907755278982137
0,1000-2,2.0,10.0,1000.0,2.0,0.04659199339994302,0.0011763443887767226,4.254753326118429e-05,0.003233631152362319,0.03433434968812933,0.0025360793098682015,0.050288618912279245,76.06534974865046,[0.09151821],1100.0,0.6931471805599453,6.907755278982137,7.600902459542082
5,5000-2,2.0,10.0,5000.0,2.0,0.14378402799998186,0.001202723103407994,1.1097161271533517e-05,0.0018144875002319074,0.034914506884619174,0.0025521788954490374,0.05050985354314932,28.54636911250618,[0.08999416],5100.0,0.6931471805599453,8.517193191416238,9.210340371976184
1,10000-2,2.0,10.0,10000.0,2.0,0.3206953085999885,0.0011975687419118546,8.807821315877959e-06,0.0015369963561971682,0.034571204462669466,0.0025203436805715804,0.05019298739470011,35.270561199560206,[0.09405539],10100.0,0.6931471805599453,9.210340371976184,9.903487552536127
3,20000-2,2.0,10.0,20000.0,2.0,0.5602330916000028,0.0012041657452784068,4.567339921674854e-06,0.0011738063404049426,0.03463375716561983,0.0024922036987470907,0.04991883736946191,11.846731354306618,[0.04766805],20100.0,0.6931471805599453,9.903487552536127,10.596634733096073
